name,email,password,has_voted
Elijah Towhey,voter1@test.com,123456,FALSE
Estella Besset,voter2@test.com,123456,FALSE
Hyacintha Westfield,voter3@test.com,123456,FALSE
Tess Rushman,voter4@test.com,123456,FALSE
Godiva Hryskiewicz,voter5@test.com,123456,FALSE
Sigfried Fyfield,voter6@test.com,123456,FALSE
Rancell Pinke,voter7@test.com,123456,FALSE
Tabina Simioli,voter8@test.com,123456,FALSE
Bastien Di Pietro,voter9@test.com,123456,FALSE
Anastassia O'Kinedy,voter10@test.com,123456,FALSE
Cornelia Wyatt,voter11@test.com,123456,FALSE
Melitta Gullivan,voter12@test.com,123456,FALSE
Pattie Reedyhough,voter13@test.com,123456,FALSE
Carolus Collinwood,voter14@test.com,123456,FALSE
Brear Clulee,voter15@test.com,123456,FALSE
Joice Galliver,voter16@test.com,123456,FALSE
Matty Fritschmann,voter17@test.com,123456,FALSE
Derick Scorer,voter18@test.com,123456,FALSE
Moll Corbie,voter19@test.com,123456,FALSE
Natal Hamor,voter20@test.com,123456,FALSE
Jana Poxton,voter21@test.com,123456,FALSE
Michal Venables,voter22@test.com,123456,FALSE
Richy Spellar,voter23@test.com,123456,FALSE
Nikolos Cholwell,voter24@test.com,123456,FALSE
Katti Summerton,voter25@test.com,123456,FALSE
Idell McGhee,voter26@test.com,123456,FALSE
Tatum Josiah,voter27@test.com,123456,FALSE
Sarette Geffen,voter28@test.com,123456,FALSE
Gillie Dowrey,voter29@test.com,123456,FALSE
Rebbecca Creamer,voter30@test.com,123456,FALSE
Becky Sings,voter31@test.com,123456,FALSE
Tom Carnihan,voter32@test.com,123456,FALSE
Murvyn Twitty,voter33@test.com,123456,FALSE
Lynsey Yellowlees,voter34@test.com,123456,FALSE
Linn Strick,voter35@test.com,123456,FALSE
Lyndel Alywen,voter36@test.com,123456,FALSE
Gabbi Iddison,voter37@test.com,123456,FALSE
Anson Whiteside,voter38@test.com,123456,FALSE
Alina Hoodlass,voter39@test.com,123456,FALSE
Rose Cartwright,voter40@test.com,123456,FALSE
Analise Harbin,voter41@test.com,123456,FALSE
Cynthie Inkster,voter42@test.com,123456,FALSE
Gay Foulstone,voter43@test.com,123456,FALSE
Raymund Mashal,voter44@test.com,123456,FALSE
Giff Sappy,voter45@test.com,123456,FALSE
Modestia Ibarra,voter46@test.com,123456,FALSE
Rhoda Bazeley,voter47@test.com,123456,FALSE
Jonathon Downing,voter48@test.com,123456,FALSE
Wilden Daveren,voter49@test.com,123456,FALSE
Thorpe Andreutti,voter50@test.com,123456,FALSE
Kinnie Mattheus,voter51@test.com,123456,FALSE
Maurise Redihough,voter52@test.com,123456,FALSE
Rafe Seilmann,voter53@test.com,123456,FALSE
Rosmunda Venus,voter54@test.com,123456,FALSE
Alfred Rahl,voter55@test.com,123456,FALSE
Gar Stack,voter56@test.com,123456,FALSE
Haily Whodcoat,voter57@test.com,123456,FALSE
Jonas Norledge,voter58@test.com,123456,FALSE
Sigismond Grotty,voter59@test.com,123456,FALSE
Bran Conen,voter60@test.com,123456,FALSE
Wilow Molyneux,voter61@test.com,123456,FALSE
Dirk Deshon,voter62@test.com,123456,FALSE
Kattie Worral,voter63@test.com,123456,FALSE
Penny Lanfer,voter64@test.com,123456,FALSE
Micheline Rasp,voter65@test.com,123456,FALSE
Avril Dowd,voter66@test.com,123456,FALSE
Andra de Voiels,voter67@test.com,123456,FALSE
Valentia Szimon,voter68@test.com,123456,FALSE
Norma Hyde-Chambers,voter69@test.com,123456,FALSE
Wynn Zohrer,voter70@test.com,123456,FALSE
Olimpia Bartczak,voter71@test.com,123456,FALSE
Alexio Garnul,voter72@test.com,123456,FALSE
Ara Richarz,voter73@test.com,123456,FALSE
Farlay Dooland,voter74@test.com,123456,FALSE
Rubina Bigglestone,voter75@test.com,123456,FALSE
Ernst Carbery,voter76@test.com,123456,FALSE
Jerrome Ribeiro,voter77@test.com,123456,FALSE
Beauregard Hubback,voter78@test.com,123456,FALSE
Brandtr Laxtonne,voter79@test.com,123456,FALSE
Dorothy Goudy,voter80@test.com,123456,FALSE
Lawton Jordin,voter81@test.com,123456,FALSE
Leela Seldner,voter82@test.com,123456,FALSE
Dona Gitting,voter83@test.com,123456,FALSE
Gerry Clemonts,voter84@test.com,123456,FALSE
Cacilia Franciotti,voter85@test.com,123456,FALSE
Dyann Ekins,voter86@test.com,123456,FALSE
Vikky Karchewski,voter87@test.com,123456,FALSE
Carlotta Ivanets,voter88@test.com,123456,FALSE
Martie Jeandon,voter89@test.com,123456,FALSE
Lilli Fossord,voter90@test.com,123456,FALSE
Denys Dawney,voter91@test.com,123456,FALSE
Krista Ickeringill,voter92@test.com,123456,FALSE
Henrik Janaszewski,voter93@test.com,123456,FALSE
Gerome Davidde,voter94@test.com,123456,FALSE
Algernon Pach,voter95@test.com,123456,FALSE
Lucila Gammell,voter96@test.com,123456,FALSE
Burtie Lacheze,voter97@test.com,123456,FALSE
Druci Altham,voter98@test.com,123456,FALSE
Worden Rowlett,voter99@test.com,123456,FALSE
Erwin Rouchy,voter100@test.com,123456,FALSE
Xymenes Rollett,voter101@test.com,123456,FALSE
Valaria Magauran,voter102@test.com,123456,FALSE
Adella Audsley,voter103@test.com,123456,FALSE
Malinda Lyte,voter104@test.com,123456,FALSE
Carlen Parysiak,voter105@test.com,123456,FALSE
Cecilla Woodrow,voter106@test.com,123456,FALSE
Immanuel McCaster,voter107@test.com,123456,FALSE
Sylvia Kitter,voter108@test.com,123456,FALSE
Fifine Bath,voter109@test.com,123456,FALSE
Hakeem Nicholls,voter110@test.com,123456,FALSE
Yvon Shanklin,voter111@test.com,123456,FALSE
Shaun Turbern,voter112@test.com,123456,FALSE
Gill Iddons,voter113@test.com,123456,FALSE
Palm Lavington,voter114@test.com,123456,FALSE
Isacco Dundendale,voter115@test.com,123456,FALSE
Shelden Boxhall,voter116@test.com,123456,FALSE
Doris Teideman,voter117@test.com,123456,FALSE
Enrichetta Wayon,voter118@test.com,123456,FALSE
Lucias Sorbey,voter119@test.com,123456,FALSE
